Hour,2013_Jun,2013_Jul,2013_Aug,2013_Sep,2013_Oct,2013_Nov,2013_Dec,2014_Jan,2014_Feb,2014_Mar,2014_Apr,2014_May,2014_Jun,2014_Jul,2014_Aug,2014_Sep,2014_Oct,2014_Nov,2014_Dec,2015_Jan,2015_Feb,2015_Mar,2015_Apr,2015_May,2015_Jun,2015_Jul,2015_Aug,2015_Sep,2015_Oct,2015_Nov,2015_Dec,2016_Jan,2016_Feb,2016_Mar,2016_Apr,2016_May,2016_Jun,2016_Jul,2016_Aug,2016_Sep,2016_Oct,2016_Nov,2016_Dec,2017_Jan,2017_Feb,2017_Mar,2017_Apr,2017_May,2017_Jun,2017_Jul,2017_Aug,2017_Sep,2017_Oct,2017_Nov,2017_Dec,2018_Jan,2018_Feb,2018_Mar,2018_Apr,2018_May,2018_Jun,2018_Jul,2018_Aug,2018_Sep,2018_Oct,2018_Nov,2018_Dec,2019_Jan,2019_Feb,2019_Mar,2019_Apr,2019_May,2019_Jun,2019_Jul,2019_Aug,2019_Sep,2019_Oct,2019_Nov,2019_Dec,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug,2024_Sep,2024_Oct,2024_Nov,2024_Dec,2025_Jan,2025_Feb,2025_Mar
0,3748,10631,12634,11137,10769,7112,4868,2649,2121,3781,5134,7809,10435,10163,10562,8620,7260,4922,3877,2371,1698,2442,4914,7334,7749,9259,9758,10450,9759,8147,7332,4073,4238,6194,7065,9214,11945,12759,12348,13292,12444,9455,6987,5262,5468,5043,8836,10649,14930,14919,13963,15018,15331,9892,7824,5163,5918,7219,9728,15708,18152,18600,18510,19298,15215,9968,9967,6668,6363,10370,12357,15675,23327,23448,24201,23370,18422,12025,9103,9549,8635,7111,3739,9797,16867,26455,29740,26073,25762,18458,9352,8151,5459,11964,19817,38315,52750,52851,54117,53603,45341,25819,21091,10470,12640,19808,25339,37460,52828,59392,55460,49540,42237,30629,22739,21609,18586,21588,33421,42092,49919,60471,60536,52221,51601,35152,33984,21011,24010,31340,37055,55219,76906,74527,71637,74890,69957,53294,32005,24343,20386,36267
1,1977,6011,7348,6288,6114,4412,2806,1537,1181,2200,2928,4525,5567,5698,5979,4599,4188,2937,2211,1390,923,1299,2554,4376,4150,5042,5433,5378,5374,5042,4433,2460,2249,3311,3439,4751,6200,6836,6725,7042,6838,5296,3845,3197,2945,2550,4684,5504,7426,8250,8312,8228,8621,5453,4232,2753,3216,3987,5487,8794,10067,10408,10518,10998,8638,5289,5652,3911,3503,5748,6808,8316,13107,13806,14191,13537,10689,6453,5162,5690,5024,3983,2107,5469,9918,15501,18238,15031,14697,11209,5451,5118,3239,6181,10378,20351,33618,34582,34865,33993,29494,16947,12842,6854,7316,12045,15560,22137,32116,37858,34454,30109,27014,20257,13903,14341,10928,12393,20198,25730,31200,38400,36254,32122,32021,22408,21235,13233,13866,19232,21906,32753,46272,45116,44249,44281,41018,33494,18426,15702,11574,21329
2,1156,3748,4408,3749,3764,2670,1875,974,793,1204,1696,2555,3307,3393,3658,2946,2464,1743,1330,955,502,742,1534,2356,2404,2882,3157,3329,3068,2762,2487,1434,1405,1681,2080,2980,3621,4208,3948,4002,4019,2773,2212,1898,1703,1246,2858,3087,4289,4756,4238,4598,4926,2873,2526,1585,1810,2150,3101,5156,5993,6133,6167,6839,4901,3076,3184,2338,1997,3254,4171,5015,8110,8302,9058,8416,6404,3931,3304,3666,3117,2070,1276,3335,5655,9024,10576,8712,8222,5844,3422,3129,2067,3880,6503,12283,22310,23396,24204,23351,20074,10206,7900,4630,5056,8073,10441,14642,20347,25042,22637,19631,17806,12262,8943,9766,6810,7243,13027,16024,20598,25772,22476,21071,21879,13431,13582,8837,8730,11982,13905,20509,30161,29120,28817,29265,26122,20263,11559,10644,7444,13200
3,620,2313,2649,2293,2121,1549,1028,669,450,832,896,1443,1973,2334,2213,1772,1449,1120,872,588,346,543,933,1513,1450,1755,1963,2036,1833,1726,1578,951,910,1167,1342,1768,2445,2721,2443,2547,2482,1658,1301,1286,976,818,1595,1888,2580,2914,2652,2732,3016,1831,1549,989,1215,1555,1810,3024,3810,3605,3970,4202,3022,1902,2005,1581,1252,2217,2649,3217,4965,5247,5566,5543,4279,2687,2351,2331,2063,1716,893,2196,3370,5252,6181,5161,4835,3860,2340,2324,1290,2629,3829,7388,13572,15354,15440,14577,12352,6748,4791,2859,3278,5448,7061,9541,13145,15663,14258,12780,11449,7822,5873,6605,4645,5722,8888,10064,13504,16366,14071,13804,14723,8827,9367,5870,5984,8590,9486,13803,19405,18539,19396,19287,18034,13609,7670,7187,5072,9787
4,542,1727,2028,1873,1981,1342,991,658,462,907,1017,1410,1742,1972,1949,1717,1385,1085,923,653,401,622,895,1364,1351,1691,1854,1900,1882,1658,1559,1010,1038,1340,1427,1681,2163,2444,2510,2581,2481,1941,1361,1391,1074,990,1614,2057,2569,2813,2802,2895,2873,2015,1780,1259,1322,1657,1881,3172,3469,3762,4001,3906,3538,2523,2259,2170,1990,2545,3088,3681,4843,5184,5370,5539,4701,3338,2445,2533,2396,2050,956,1963,3005,4824,5091,4625,4731,3982,2479,2532,1406,2692,3736,5832,11228,11909,11820,10981,9396,6460,4610,2800,3318,5213,6879,8653,10921,12740,11640,10250,8917,7294,5563,6077,4970,5962,7899,9092,11212,13643,12341,11857,12569,8765,8011,5982,6286,8617,9746,12426,16071,16280,16326,16165,15869,12482,7939,7299,6111,10556
5,1306,3496,4417,4594,4906,3330,2465,1854,1202,2343,3167,4015,4540,5365,4771,4855,4195,2806,2584,2251,1372,2161,3294,4604,5062,5726,5258,5969,6209,5428,4583,3280,3874,4863,4978,5736,7789,7484,8515,8916,8802,7514,5041,5744,4953,4608,6205,8900,9966,9972,10854,10501,10378,8498,6221,5505,6463,6249,7413,11610,11958,11968,12761,10539,12243,9098,7405,8065,7148,8282,10434,12998,13135,14829,15416,16096,15482,11106,6893,9274,8433,6543,2641,5190,9299,12136,11741,12050,11971,9730,7409,7455,4335,8664,11167,14473,20864,19933,20011,20225,17734,14362,10945,7870,8591,12312,13208,16982,21365,23754,24658,22416,18588,17622,13188,15647,13296,15927,18074,22909,24797,25899,25467,23223,24970,20656,16249,16050,16500,19585,21965,27857,31554,33077,32348,33108,33984,26152,18909,19446,17576,23197
6,5437,14464,17311,18464,20243,13468,8807,7207,4204,8737,12812,16146,17730,21783,18959,20060,17542,11811,10117,8103,4444,8395,13763,18556,20683,22982,21890,25322,25064,21993,17211,11789,14228,18623,20700,22783,30449,28817,34276,32438,32384,27966,18248,19267,17671,17587,23138,31153,37001,34565,40795,38979,38584,30459,21251,17018,21820,20882,25057,41054,39661,39141,44959,35713,42556,31562,23386,24860,23075,26397,36085,42190,40021,47283,50342,50647,46784,34552,20806,29271,25622,21407,10623,19206,31237,38051,36340,40886,39268,31323,22110,23484,13234,28692,36523,46427,57929,54158,55706,58657,54063,44842,31641,21903,26020,38518,39423,49923,60968,63163,68734,66004,52216,48746,34485,39356,37216,43913,49728,64046,66737,67332,72768,65182,69043,56669,41395,43717,45563,50882,61918,79701,86428,89061,88477,93724,94175,72579,48362,51702,46339,61392
7,12253,31315,35799,41643,44135,28690,18313,14097,8705,17242,27622,33864,36085,42557,37436,40860,36831,24035,19748,14826,8925,16447,28021,38105,41825,45393,43649,53592,55513,48519,38716,23632,28812,40774,43445,49730,63610,57344,69599,72655,72926,60774,39380,41071,38405,37190,47870,68124,74864,67255,76710,85487,84267,66304,45203,36156,46284,43985,54481,89187,81101,78582,87443,77995,94349,68203,49951,51692,48399,56079,79110,88678,81989,94899,98955,110758,103407,74539,44869,63289,55221,44812,18090,32961,53629,66643,66584,80777,77291,60592,40604,41967,22796,53749,69161,87390,105230,96231,97855,119302,116214,94877,67054,43463,53277,82314,85357,105085,117706,112157,122716,136135,116935,106280,73715,83613,80259,95862,104297,134704,126816,123409,132796,143759,157582,125311,88081,90920,96268,111537,125919,170058,168483,164353,164874,209343,212604,157281,104312,106463,97856,133880
8,24433,56878,67120,68979,80695,53435,33438,25563,16545,34542,53072,62877,62302,73341,66183,66898,64330,42239,34183,24953,16500,30867,48718,65285,72541,78258,79235,94149,102235,83224,70230,44626,52365,76033,77867,89375,111384,97659,119406,123833,127277,103876,71017,72201,68505,66336,89555,119516,126965,112031,131645,141814,148968,115493,80606,64041,81155,82475,95321,153333,144059,139061,153200,134412,160989,115926,88641,90293,85625,103339,142579,152533,139140,159448,170728,189034,183880,132188,77972,113735,100086,75951,21342,42282,72663,94880,96277,113689,112180,87433,56950,62075,33255,79949,104756,133720,156189,144195,146840,170534,170707,136516,98337,62295,78371,122735,131257,157386,175856,171182,190814,194802,171572,157608,107311,121609,118700,142991,154542,200376,194141,189797,215683,208319,240193,189862,137449,141793,149570,176760,195386,255226,261279,256487,260981,312336,331349,233740,157678,160248,149986,210025
9,20470,47178,55469,59185,65505,44865,29805,20737,14282,29591,43448,52640,52156,61051,57233,54188,51003,34646,28153,19192,13776,25016,39788,51287,55909,61062,63011,71664,76937,62939,52784,34702,39805,58960,60717,67882,84067,78429,92316,89570,91273,74909,54723,51113,51353,48125,73905,87725,99731,89586,103639,105236,111627,87817,63101,49092,60498,65262,79949,115213,119091,114979,118819,109831,119723,89766,69563,67969,65431,86458,115306,120887,121502,132022,142679,147276,139884,102558,66203,83348,77295,57514,20954,46500,75808,94282,94916,107108,100880,85039,55174,57510,31279,70744,92478,118552,136549,134536,135915,146834,144046,110594,84671,49606,63379,95067,112143,132910,153846,158611,175055,167475,146603,131016,92169,98281,93944,113785,134871,166692,166785,177251,195806,171766,191608,155525,119614,110824,118129,143729,164990,208476,229736,229044,237646,250629,267437,197256,131499,126426,119045,172373
