id,name
1,E 128 St & Madison Ave
2,Thompson St & Bleecker St
3,Queens Plaza North & Crescent St
4,9 St & 44 Rd
5,Sherman Ave & E 166 St
6,Degraw St & Smith St
7,Nelson Ave & W 172 St
8,Fulton Ave & St Paul's Pl
9,Woodward Ave & Starr St
10,Lexington Ave & E 26 St
11,Amsterdam Ave & W 162 St
12,E 27 St & 1 Ave
13,Gerard Ave & E 146 St
14,DeKalb Ave & Hudson Ave
15,W 82 St & Central Park West
16,100 St & Lewis Ave
17,N 5 St & Wythe Ave
18,Amsterdam Ave & W 82 St
19,W 20 St & 8 Ave
20,Stanton St & Chrystie St
21,Bleecker St & Crosby St
22,W 40 St & 7 Ave
23,E 156 St & Courtlandt Ave
24,Centre St & Chambers St
25,Broadway & Roebling St
26,W 230 St & Marble Hill Ave
27,N 10 St & Berry St
28,Washington Pl & Broadway
29,Central Ave & Decatur St
30,W 42 St & 8 Ave
31,E 6 St & Ave D
32,Columbus Ave & W 59 St
33,E 2 St & Ave A
34,Intervale Ave & Kelly St
35,W 25 St & 8 Ave
36,27 St & Hunter St
37,E 6 St & Ave B
38,W 22 St & 10 Ave
39,Division St & Bowery
40,E 10 St & Ave A
41,Monroe St & Bedford Ave
42,7 Ave & 22 St
43,St Mary's St & Jackson Ave
44,Chauncey St & Howard Ave
45,55 St & Northern Blvd
46,79 St & Roosevelt Ave
47,Lincoln Rd & Ocean Ave
48,Beaver St & Fayette St
49,Cadman Plaza E & Tillary St
50,Washington Pl & Greene St
51,Irving Ave & Jefferson St
52,Steinway St & Broadway
53,Malcolm X Blvd & DeKalb Ave
54,Central Ave & Melrose St
55,Lorimer St & Broadway
56,75 St & Roosevelt Ave
57,Carroll St & 5 Ave
58,West End Ave & W 94 St
59,Harman St & Seneca Ave
60,E 75 St & 3 Ave
61,E 58 St & Madison Ave
62,W 25 St & 9 Ave
63,81 St & 24 Ave
64,35 St & Broadway
65,Willoughby Ave & Onderdonk Ave
66,Lexington Ave & Stuyvesant Ave
67,University Ave & Macombs Rd
68,Graham Ave & Conselyea St
69,7 St & 5 Ave
70,10 St & 4 Ave
71,Tiebout Ave & E 184 St
72,1 Ave & E 94 St
73,Lewis Ave & Fulton St
74,New York Ave & Hawthorne St
75,35 Ave & 37 St
76,Ashland Pl & Dekalb Ave
77,57 St & Woodside Ave
78,Columbus Ave & W 72 St
79,W 17 St & 7 Ave
80,4 Ave & 3 St
81,Riverside Dr & W 91 St
82,6 Ave & W 34 St
83,Park Circle & East Dr
84,Cleveland Pl & Spring St
85,Kenmare St & Elizabeth St
86,Lexington Ave & E 120 St
87,Lexington Ave & Patchen Ave
88,Hancock St & Stuyvesant Ave
89,Boston Rd & West Farms Rd
90,Cliff St & Fulton St
91,Flatbush Ave & Fenimore St
92,Eastern Pkwy & Nostrand Ave
93,E 47 St & Park Ave
94,St Johns Pl & Washington Ave
95,Canal St & Rutgers St
96,Myrtle Ave & Lewis Ave
97,5 Ave & E 72 St
98,W 15 St & 6 Ave
99,E 17 St & 2 Ave
100,Atlantic Ave & Furman St
101,Bank St & Washington St
102,E 63 St & 3 Ave
103,E 41 St & Madison Ave (SE corner)
104,W 56 St & 6 Ave
105,Hicks St & Montague St
106,W 12 St & Hudson St
107,E 54 St & 1 Ave
108,21 St & 21 Ave
109,Bushwick Ave & Dekalb Ave
110,Amsterdam Ave & W 79 St
111,Liberty St & Broadway
112,W 25 St & 6 Ave
113,Rivington St & Ridge St
114,Main St & Plymouth St
115,Broadway & Kent Ave
116,Huron St & Franklin St
117,Grand Concourse & E 161 St
118,Clark St & Henry St
119,Scholes St & Manhattan Ave
120,Carroll St & Franklin Ave
121,Prospect Park West & 8 St
122,Brook Ave & E 157 St
123,Stratford Rd & Beverley Rd
124,E 14 St & Ave B
125,Crescent St & 34 Ave
126,61 St & 39 Ave
127,Broadway & Moylan Pl
128,Park Pl & Church St
129,Greene St & Prince St
130,Loring Pl North & W 183 St
131,E 77 St & 1 Ave
132,Jackson Mill Rd & 93 St
133,Broadway & W 165 St
134,East End Ave & E 86 St
135,Marble Hill Ave & W 225 St
136,5 St & 6 Ave
137,E 58 St & 3 Ave
138,21 Ave & Crescent St
139,Madison St & Malcolm X Blvd
140,Madison St & Montgomery St
141,Clinton St & Union St
142,E 35 St & Madison Ave
143,W 180 St & Ft Washington Ave
144,Wilkins Ave & Crotona Park E
145,Macon St & Lewis Ave
146,W 18 St & 9 Ave
147,Central Park W & W 97 St
148,W 46 St & 11 Ave
149,Stuyvesant Ave & Hart St
150,Pierrepont St & Monroe Pl
151,N 15 St & Wythe Ave
152,Prospect Pl & Vanderbilt Ave
153,Knickerbocker Ave & Hancock St
154,48 St & Broadway
155,65 St & Broadway
156,49 Ave & 21 St
157,Steinway St & Ditmars Blvd
158,Snyder Ave & Schenectady Ave
159,Grand Ave & Remsen Pl
160,Kent Ave & N 7 St
161,Sharon St & Olive St
162,Jerome Ave & Bedford Park Blvd E
163,Amsterdam Ave & W 183 St
164,Classon Ave & St Marks Ave
165,10 St & 2 Ave
166,Metropolitan Ave & Stewart Ave
167,Amsterdam Ave & W 167 St
168,Schenectady Ave & President St
169,Lefferts Ave & Schenectady Ave
170,6 Ave & 9 St
171,39 Ave & 99 St
172,Macon St & Howard Ave
173,W 225 St & Exterior St
174,N 6 St & Bedford Ave
175,Greenwich St & Perry St
176,DeKalb Ave & Franklin Ave
177,Grand Concourse & E 199 St
178,Central Ave & Weirfield St
179,Carroll St & Utica Ave
180,Clifton Pl & Bedford Ave
181,Duane St & Hudson St
182,Menahan St & Wyckoff Ave
183,Calyer St & Jewel St
184,Pulaski St & Throop Ave
185,Lewis Ave & Kosciuszko St
186,Irving Ave & Halsey St
187,1 Ave & E 62 St
188,56 Ave & 92 St
189,Putnam Ave & Knickerbocker Ave
190,Cathedral Pkwy & Broadway
191,Morningside Dr & Amsterdam Ave
192,Sands St & Jay St
193,Ditmars Blvd & 31 Dr
194,Sigourney St & Columbia St
195,Ocean Pkwy & Church Ave
196,Pacific St & Nevins St
197,111 St & 53 Ave
198,Lenox Ave & W 140 St
199,Clinton St & Centre St
200,Crescent St & Ditmars Blvd
201,Ogden Ave & W 164 St
202,Edgecombe Ave & W 167 St
203,Myrtle Ave & Marcy Ave
204,Marcy Ave & Hart St
205,E 43 St & 2 Ave
206,Scholes St & Lorimer St
207,West Farms Rd & Boone Ave
208,E 128 St & 3 Ave
209,Willis Ave & Bruckner Blvd
210,E Burnside Ave & Ryer Ave
211,Pioneer St & Richards St
212,Spruce St & Nassau St
213,1 Pl & Clinton St
214,W Broadway & Spring St
215,North Moore St & Greenwich St
216,E 115 St & Madison Ave
217,53 St & Roosevelt Ave
218,Ave A & E 11 St
219,Underhill Ave & Lincoln Pl
220,Watts St & Greenwich St
221,55 Ave & Center Blvd
222,St James Ave & 51 Ave
223,E 161 St & River Ave
224,Clermont Ave & Park Ave
